word,rootWord,sentimentTag,sentimentStrength,partOfSpeech,definition,exampleSentence,domain,relatedWords,isNegatable
kastam,kastam,neutral,0,noun,Jabatan kerajaan yang bertanggungjawab mengutip duti import dan eksport serta mengawal selia keluar masuk barangan dan orang di sempadan.,Barang yang diimport itu akan melalui pemeriksaan kastam.,"government, trade","['duti', 'cukai', 'sempadan', 'imigresen']",False
phone,telefon,neutral,0,noun,Alat telekomunikasi untuk bercakap dengan orang lain dari jarak jauh (pinjaman daripada bahasa Inggeris).,Saya perlu membeli phone baru.,technology,"['telefon bimbit', 'gajet', 'komunikasi']",False
Inilah,ini,neutral,0,demonstrative pronoun,"Bentuk penekanan bagi 'ini', merujuk kepada sesuatu yang dekat atau yang baru disebut.",Inilah yang saya cari selama ini.,general,"['itulah', 'ini', 'begitulah']",True
this,ini,neutral,0,demonstrative pronoun,Ini (kata ganti tunjuk bahasa Inggeris).,This is my book.,general,"['itu', 'ini']",True
.orang,orang,neutral,0,noun,Manusia; individu.,Ramai .orang hadir ke majlis itu.,general,"['individu', 'manusia', 'masyarakat']",True
bole,boleh,neutral,0,modal verb,Dapat; mampu; diizinkan (bentuk tidak formal bagi 'boleh').,Awak bole datang esok?,general,"['dapat', 'mampu', 'izin']",True
ANDA,anda,neutral,0,pronoun,"Kata ganti nama diri kedua, digunakan untuk merujuk kepada seseorang atau sekumpulan orang.",Apakah pendapat ANDA tentang isu ini?,general,"['awak', 'kamu', 'tuan', 'puan']",True
",,",",",neutral,0,punctuation,"Tanda baca yang digunakan untuk memisahkan unsur-unsur dalam senarai, klausa, atau idea (pengulangan koma).","Dia membeli epal,, oren dan pisang.",linguistics,[],False
harapan,harap,positive,0.7,noun,Keinginan atau jangkaan yang baik terhadap sesuatu yang akan berlaku.,Kami meletakkan harapan yang tinggi terhadap projek ini.,"general, emotion","['cita-cita', 'impian', 'aspirasi', 'putus asa']",True
Selalu,selalu,neutral,0,adverb,Pada setiap masa; sentiasa.,Dia Selalu datang awal ke pejabat.,general,"['sentiasa', 'sering', 'kadang-kadang', 'jarang']",True
